target,filename,cls,decl_max,decl_over_size,decl_exceeds,decl_gt16,decl_gt31,decl_trunc16_zero,unbalanced,unbalanced_abs,max_depth,unclosed_quote,dangling_escape,quote_count,escape_count,open_comment,ends_in_escape,ends_in_quote,size,printable,digits,nulls,max_run,max_token,entropy,high_bytes
frozen,read-0030,READ,2054840675,18035.676324474247,134,135,0,0,1,1,1,1,1,1,1,0,1,0,113932,1.0,0.3612505705157462,0,5,91,3.459750133384744,0.0
frozen,read-0031,READ,2054846842,17420.304365150012,133,134,0,0,1,1,1,1,1,1,1,0,1,0,117957,1.0,0.3651584899582051,0,5,107,3.4597367333284414,0.0
frozen,read-0032,READ,2054781026,41645.33899473044,133,133,0,0,1,1,1,1,1,1,1,0,1,0,49340,1.0,0.3644912849614917,0,5,81,3.460164239189859,0.0
frozen,read-0033,READ,2053317211,61369.9925578337,132,132,0,0,1,1,1,1,1,1,1,0,1,0,33458,1.0,0.3617669914519696,0,5,98,3.460394569565652,0.0
frozen,read-0034,READ,2054846562,26786.15830432912,133,133,0,0,0,0,0,1,1,1,1,0,1,0,76713,1.0,0.36532269628355035,0,5,96,3.459716478690697,0.0
frozen,read-0035,READ,2065856634,12323.098967436366,129,130,0,0,1,1,1,1,1,3,1,0,1,0,167641,1.0,0.3636759503939967,0,6,97,3.459931907322671,0.0
frozen,read-0036,READ,2065857058,18118.21557432403,134,134,0,0,1,1,1,1,1,3,1,0,1,0,114021,1.0,0.36423992071635924,0,5,94,3.4601136775876116,0.0
frozen,read-0037,READ,2054847073,38574.18946874413,129,129,0,0,1,1,1,1,1,1,1,0,1,0,53270,1.0,0.36337525811901633,0,5,115,3.4601132525810376,0.0
frozen,read-0038,READ,3001201320,40931.79836883882,132,132,1,0,1,1,1,1,1,1,1,0,1,0,73322,1.0,0.363151577971141,0,6,97,3.459922644083952,0.0
frozen,read-0039,READ,2054841138,54939.33848457302,137,137,0,0,1,1,1,1,1,1,1,0,1,0,37402,1.0,0.3646596438693118,0,7,123,3.4601763836775286,0.0
frozen,read-0040,READ,2054780979,31759.084050758127,135,135,0,0,0,0,0,1,1,1,1,0,1,0,64699,1.0,0.3635759439867695,0,5,98,3.4598188274566324,0.0
frozen,read-0041,READ,2212033221,44116.2565764544,131,131,1,0,0,0,0,1,1,1,1,0,1,0,50141,1.0,0.3646117947388365,0,5,113,3.459881467946123,0.0
frozen,read-0042,READ,2065851002,16188.532442090085,129,129,0,0,1,1,1,1,1,3,1,0,1,0,127612,1.0,0.3633279001974736,0,5,112,3.460014822653429,0.0
frozen,read-0043,READ,2054775418,38593.12982232073,131,131,0,0,1,1,1,1,1,1,1,0,1,0,53242,1.0,0.36743548326509146,0,5,89,3.4601005484797343,0.0
frozen,read-0044,READ,2065851236,20756.90006631433,134,134,0,0,1,1,1,1,1,3,1,0,1,0,99526,1.0,0.3633723851053996,0,5,100,3.460369142166723,0.0
frozen,read-0045,READ,2054824034,38573.756973906515,131,131,0,0,1,1,1,1,1,1,1,0,1,0,53270,1.0,0.3647268631499906,0,6,85,3.460068673482375,0.0
